Venue,Date,Day of Week,Event/Artist Name,Genre,Promoter Code,Promoter Name,Tickets Sold,Venue Capacity,Capacity Rate,Gross Ticket Revenue,Avg Ticket Price (incl. TW rebate),Bar Revenue,Avg Alcohol $/Guest,Band(s) Guarantee,% of Gross Ticket Revenue,Gate Settlement Gain/(Loss),Show Gross Proceeds,Source Year (file),Source File,Data Notes,Date_parsed
Majestic Theatre,2019-01-02,2019-01-02 00:00:00,Noname,Hip-Hop/R&B,,,1092.0,1100.0,0.9927272727272728,34484.0,31.57875457875458,4600.91,4.213287545787546,16500.0,0.4784827746201137,11365.64,15966.55,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-01-02
Majestic Theatre,2019-01-05,2019-01-05 00:00:00,Ookay (1),Electronic/Dance,,,658.0,1100.0,0.5981818181818181,15822.5,24.04635258358662,9016.06,13.7022188449848,7500.0,0.4740085321535787,1217.21211612,10233.27211612,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-01-05
Majestic Theatre,2019-01-24,2019-01-24 00:00:00,Piff the Magic Dragon,Comedy/Other,,,325.0,400.0,0.8125,16471.0,50.68,1563.51,4.8108,6000.0,0.36427660737053,2128.28,3691.79,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-01-24
Magic Stick,2019-01-26,2019-01-26 00:00:00,Will Sessions,Jazz/Blues/Soul,1.0,Magic Stick in-house,270.0,700.0,0.3857142857142857,4193.0,15.52962962962963,5772.0,21.37777777777778,3300.0,0.7870259957071309,-278.0,5494.0,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-01-26
Majestic Theatre,2019-01-26,2019-01-26 00:00:00,The Amity Affliction,Metal/Hard Rock,,,1100.0,1100.0,1.0,37758.0,34.32545454545455,12222.24,11.11112727272727,15516.32,0.4109412574818581,11019.12,23241.36,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-01-26
Majestic Theatre,2019-01-27,2019-01-27 00:00:00,Nao,Hip-Hop/R&B,,,961.0,1000.0,0.961,30066.5,31.28668054110302,6018.26,6.262497398543184,15763.8,0.524297806528861,7719.22,13737.48,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-01-27
Majestic Theatre,2019-02-02,2019-02-02 00:00:00,Spafford,Rock,,,499.0,1100.0,0.4536363636363636,12212.5,24.47394789579159,9715.38,19.46969939879759,5119.0,0.4191606960081883,738.14,10453.52,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-02-02
Magic Stick,2019-02-08,2019-02-08 00:00:00,Claude VonStroke - Night 1,Electronic/Dance,5.0,Paxahau - Tom Pattyn,800.0,800.0,1.0,27370.5,34.213125,18143.0,22.67875,15400.0,0.5626495679655104,5503.13,23646.13,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-02-08
Magic Stick,2019-02-09,2019-02-09 00:00:00,Claude VonStroke - Night 2,Electronic/Dance,5.0,Paxahau - Tom Pattyn,810.0,800.0,1.0125,26875.0,33.17901234567901,21111.5,26.06358024691358,15450.0,0.5748837209302325,6280.05,27391.55,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-02-09
Majestic Theatre,2019-02-13,2019-02-13 00:00:00,Sharon Van Etten,Rock,,,417.0,1000.0,0.417,12917.5,30.97721822541967,3653.31,8.76093525179856,8000.0,0.61931488291078,-449.14,3204.17,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-02-13
